csv
id,product,quantity,price,date
1,Laptop,2,1200,2023-01-15
2,Mouse,10,25,2023-01-15
3,Keyboard,5,75,2023-01-16
4,Monitor,3,300,2023-01-16
5,Webcam,7,50,2023-01-17
6,Microphone,4,100,2023-01-17
7,Speakers,6,150,2023-01-18
8,Printer,1,200,2023-01-18
9,Scanner,2,150,2023-01-19
10,External Hard Drive,8,80,2023-01-19
11,USB Drive,15,15,2023-01-20
12,Router,3,80,2023-01-20
13,Switch,2,120,2023-01-21
14,Network Cable,20,5,2023-01-21
15,Software License,5,500,2023-01-22
16,Desk,1,250,2023-01-22
17,Chair,2,100,2023-01-23
18,Lamp,5,30,2023-01-23
19,Notebook,20,3,2023-01-24
20,Pen,50,1,2023-01-24
21,Stapler,10,10,2023-01-25
22,Paper,30,4,2023-01-25
23,Envelope,25,2,2023-01-26
24,Packing Tape,10,8,2023-01-26
25,Shipping Label,100,0.5,2023-01-27
26,Box,50,1.5,2023-01-27
27,Bubble Wrap,10,12,2023-01-28
28,Tablet,5,300,2023-01-28
29,Smartphone,3,600,2023-01-29
30,Headphones,10,50,2023-01-29
31,Smartwatch,4,150,2023-01-30
32,Fitness Tracker,6,80,2023-01-30
33,Camera,2,400,2023-01-31
34,Drone,1,800,2023-01-31
35,Gaming Console,3,400,2023-02-01
36,Video Game,15,60,2023-02-01
37,Movie,20,20,2023-02-02
38,Book,30,15,2023-02-02
39,E-reader,5,100,2023-02-03
40,Backpack,10,40,2023-02-03
41,Water Bottle,25,10,2023-02-04
42,Coffee Mug,20,8,2023-02-04
43,T-shirt,50,20,2023-02-05
44,Jeans,15,50,2023-02-05
45,Shoes,10,70,2023-02-06
46,Socks,100,5,2023-02-06
47,Hat,20,15,2023-02-07
48,Scarf,10,25,2023-02-07
49,Gloves,15,20,2023-02-08
50,Jacket,5,80,2023-02-08
51,Sweater,10,40,2023-02-09
52,Dress,8,60,2023-02-09
53,Skirt,12,35,2023-02-10
54,Blouse,18,30,2023-02-10
55,Pants,20,45,2023-02-11
56,Shorts,25,30,2023-02-11
57,Swimsuit,10,40,2023-02-12
58,Towel,30,15,2023-02-12
59,Bed Sheet,10,30,2023-02-13
60,Pillow,20,20,2023-02-13
61,Blanket,8,50,2023-02-14
62,Comforter,5,100,2023-02-14
63,Curtains,10,40,2023-02-15
64,Rug,3,150,2023-02-15
65,Mirror,5,60,2023-02-16
66,Picture Frame,20,10,2023-02-16
67,Vase,15,20,2023-02-17
68,Candle,30,5,2023-02-17
69,Soap,50,3,2023-02-18
70,Shampoo,40,8,2023-02-18
71,Conditioner,40,8,2023-02-19
72,Toothbrush,50,2,2023-02-19
73,Toothpaste,40,4,2023-02-20
74,Mouthwash,30,6,2023-02-20
75,Sunscreen,25,12,2023-02-21
76,Lotion,30,10,2023-02-21
77,Makeup,20,25,2023-02-22
78,Perfume,10,50,2023-02-22
79,Hair Dryer,5,40,2023-02-23
80,Straightener,5,45,2023-02-23
81,Curling Iron,4,45,2023-02-24
82,Hair Brush,20,10,2023-02-24
83,Comb,25,5,2023-02-25
84,Nail Clippers,15,8,2023-02-25
85,Tweezers,15,6,2023-02-26
86,Scissors,10,10,2023-02-26
87,Knife,5,20,2023-02-27
88,Fork,10,5,2023-02-27
89,Spoon,10,5,2023-02-28
90,Plate,15,8,2023-02-28
91,Bowl,15,7,2023-03-01
92,Cup,20,4,2023-03-01
93,Glass,20,6,2023-03-02
94,Bottle,30,3,2023-03-02
95,Container,25,5,2023-03-03
96,Food Storage,20,10,2023-03-03
97,Trash Can,5,15,2023-03-04
98,Recycling Bin,5,15,2023-03-04
99,Cleaning Supplies,10,20,2023-03-05
100,Dish Soap,20,4,2023-03-05
